postag,AFutPart,APastPart,APresPart,Adj,Adv,Card,Conj,DemonsP,Det,Distrib,Dup,Interj,NFutPart,NInf,NPastPart,Noun,Num,Ord,PersP,Postp,Pron,Prop,Punc,Ques,QuesP,Range,Real,ReflexP,Verb,Zero,Total,Precision
AFutPart,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0.8
APastPart,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9333333333333333
APresPart,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.0
Adj,1,0,2,178,12,0,0,0,4,0,0,0,0,1,1,25,0,0,0,4,1,5,0,0,0,0,0,0,9,5,248,0.717741935483871
Adv,0,0,0,1,152,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,160,0.95
Card,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.9375
Conj,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.9848484848484849
DemonsP,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.7857142857142857
Det,0,0,0,3,4,5,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0.9411764705882353
Distrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
NFutPart,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
NInf,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.9387755102040817
NPastPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0
Noun,4,5,13,58,25,10,0,1,0,0,0,0,6,85,11,1098,0,0,0,1,0,26,0,0,0,0,0,1,32,22,1398,0.7854077253218884
Num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
PersP,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,41,0.8780487804878049
Postp,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,0,0,0,0,0,78,0.8461538461538461
Pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,9,0.8888888888888888
Prop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,1.0
Punc,0,4,3,5,4,1,0,0,0,0,0,0,0,7,2,51,0,0,0,0,0,2,530,0,0,0,0,0,5,5,619,0.8562197092084006
Ques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
QuesP,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0.3125
Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
ReflexP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1.0
Verb,1,3,6,11,13,0,0,0,0,0,0,0,4,18,6,73,0,1,0,0,0,12,0,0,0,0,0,0,299,53,500,0.598
Zero,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,20,0.5
Total,10,26,74,266,224,31,132,16,202,0,0,2,13,157,29,1258,0,2,36,73,13,59,530,1,5,0,0,8,346,97,3610
Recall,0.4,0.5384615384615384,0.6756756756756757,0.6691729323308271,0.6785714285714286,0.4838709677419355,0.9848484848484849,0.6875,0.9504950495049505,No Data,No Data,1.0,0.23076923076923078,0.2929936305732484,0.27586206896551724,0.8728139904610492,No Data,0.5,1.0,0.9041095890410958,0.6153846153846154,0.23728813559322035,1.0,1.0,1.0,No Data,No Data,0.875,0.8641618497109826,0.10309278350515463
Overall Accuracy,0.7977839335180056
