cpostag,Adj,Adv,Conj,Det,Dup,Interj,Noun,Num,Postp,Pron,Punc,Ques,Verb,Zero,Total,Precision
Adj,237,7,0,4,0,0,18,0,2,1,0,0,6,0,275,0.8618181818181818
Adv,3,152,0,3,0,0,1,0,2,0,0,0,0,0,161,0.9440993788819876
Conj,0,0,129,0,0,0,2,0,0,0,0,0,0,0,131,0.9847328244274809
Det,3,4,0,191,0,0,0,5,0,0,0,0,0,0,203,0.9408866995073891
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1.0
Noun,16,2,0,0,0,0,678,0,0,3,0,0,1,0,700,0.9685714285714285
Num,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,1.0
Postp,2,8,0,0,0,0,5,0,68,0,0,0,0,0,83,0.8192771084337349
Pron,2,7,3,4,0,0,2,0,0,72,0,0,0,0,90,0.8
Punc,0,0,0,0,0,0,0,0,0,0,530,0,0,0,530,1.0
Ques,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
Verb,4,0,0,0,0,0,1,0,0,0,0,0,152,0,157,0.9681528662420382
Zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Total,267,180,132,202,0,2,707,21,72,76,530,1,159,0,2349.0
Recall,0.8876404494382022,0.8444444444444444,0.9772727272727273,0.9455445544554455,No Data,1.0,0.958981612446959,0.7619047619047619,0.9444444444444444,0.9473684210526315,1.0,1.0,0.9559748427672956,No Data
Overall Accuracy,0.9484887186036611
